"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.185926083E0,-6.200826019E-3,-4.646182939E-2,-1.423504651E-1
2.195869083E0,-5.224048644E-3,-3.097134914E-2,-1.510710025E-1
2.205811083E0,-2.434049696E-2,-1.458851069E-2,-1.454839879E-1
2.215754083E0,-3.588677444E-2,-4.847195596E-3,-1.276464719E-1
2.225697083E0,-4.187856250E-2,6.246781480E-3,-1.193673992E-1
2.235640083E0,-5.317370206E-2,2.100966711E-2,-1.081752437E-1
2.245583083E0,-5.166541278E-2,2.178347301E-2,-9.902610540E-2
2.255526083E0,-4.622925639E-2,1.940372933E-2,-1.070163256E-1
2.265469083E0,-7.599977016E-2,2.125232656E-2,-7.697391629E-2
2.275412083E0,-7.397707209E-2,1.087691747E-2,-5.757051587E-2
2.285355083E0,-7.213980384E-2,-9.065340422E-3,-8.933259130E-2
2.295298083E0,-6.451949313E-2,-2.414421324E-2,-1.537770939E-1
2.305240083E0,-4.756834187E-2,-1.216197101E-2,-1.852409613E-1
2.315183083E0,-3.794886813E-2,3.673239145E-3,-1.561376148E-1
2.325126083E0,-4.190078191E-2,2.609731117E-3,-7.715576470E-2
2.335069083E0,-5.468842328E-2,-1.210366331E-2,-2.478634715E-3
2.345012083E0,-7.131702751E-2,-3.367480930E-2,-3.589664161E-2
2.354955083E0,-6.840818390E-2,-2.021740593E-2,-1.133155310E-1
2.364898083E0,-5.641459443E-2,-1.796191558E-4,-1.683559567E-1
2.374841083E0,-5.660448276E-2,2.936870956E-2,-1.788148713E-1
2.384784083E0,-3.730267771E-2,4.128529851E-2,-9.863551140E-2
2.394726083E0,-3.514775947E-2,8.112134635E-3,5.731440783E-3
2.404669083E0,-3.492015660E-2,-2.265310016E-2,4.105330110E-3
2.414612083E0,-1.881341636E-2,-4.624716349E-2,-1.410640776E-1
2.424555083E0,-2.621160597E-2,-3.354401439E-2,-2.895564580E-1
2.434498083E0,-4.096471578E-2,-1.967741556E-2,-3.153567123E-1
2.444441083E0,-5.490849786E-2,-2.000799338E-2,-1.850515115E-1
2.454384083E0,-4.544499859E-2,-3.361275572E-2,-2.833268344E-2
2.464327083E0,-4.605734825E-2,-6.054967225E-2,3.712104857E-2
2.474270083E0,-5.300310954E-2,-5.190623584E-2,-1.600382924E-2
2.484212083E0,-6.698877230E-2,-1.170893971E-2,-7.031861544E-2
2.494154625E0,-9.346679203E-2,2.535195563E-2,-1.166806036E-1
2.504097625E0,-9.140097074E-2,4.301167980E-2,-1.361231804E-1
2.514040625E0,-8.179479942E-2,4.945794269E-2,-1.342368686E-1
2.523983625E0,-6.073707551E-2,4.237648945E-2,-1.244995004E-1
2.533926625E0,-4.265719235E-2,7.545349404E-2,-1.133927143E-1
2.543869625E0,-3.270318478E-2,9.040705372E-2,-9.915357471E-2
2.553812625E0,-2.472093143E-2,1.125903666E-1,-5.837801635E-2
2.563755625E0,-3.297946572E-2,1.009840090E-1,-2.981378317E-2
2.573697625E0,-3.950108461E-2,6.923680745E-2,-2.315263510E-2
2.583640625E0,-5.146660745E-2,3.581470750E-2,-6.606301188E-2
2.593583625E0,-5.425090536E-2,-1.904043451E-2,-9.138554871E-2
